OGLE-LMC-DSCT-00055,39:07.8,-70:28:48.0,20.287,0.06959883,0.00000005,LMC538.04.3900,
OGLE-LMC-DSCT-00057,39:10.5,-69:38:37.4,19.762,0.10216957,0.00000008,LMC538.21.9454,
OGLE-LMC-DSCT-00058,39:13.2,-69:34:35.6,18.887,0.05214854,0.00000002,LMC538.29.968,
OGLE-LMC-DSCT-00059,39:24.7,-70:28:30.6,19.99,0.10299273,0.00000019,LMC538.04.1568,
OGLE-LMC-DSCT-00060,39:54.2,-69:19:52.6,19.641,0.09262478,0.00000008,LMC538.28.11115,
OGLE-LMC-DSCT-00061,40:06.4,-70:00:01.1,20.047,0.07979769,0.00000007,LMC538.11.10255,
OGLE-LMC-DSCT-00062,40:16.8,-68:36:07.7,20.557,0.07578596,0.00000006,LMC539.21.4834,
OGLE-LMC-DSCT-00063,40:17.4,-67:53:40.5,20.103,0.10941224,0.00000008,LMC540.05.8087,
OGLE-LMC-DSCT-00064,40:22.4,-68:27:34.3,20.082,0.07375113,0.00000007,LMC539.21.9874,
OGLE-LMC-DSCT-00065,40:26.8,-68:46:48.5,20.799,0.07652428,0.00000005,LMC539.12.13008,
OGLE-LMC-DSCT-00067,40:54.5,-68:53:35.8,20.44,0.08188603,0.00000008,LMC539.12.2073,
OGLE-LMC-DSCT-00068,40:55.7,-67:03:08.2,19.223,0.11685489,0.00000015,LMC540.30.718,
OGLE-LMC-DSCT-00069,41:02.9,-67:13:14.8,20.363,0.08906131,0.00000006,LMC540.22.5400,
OGLE-LMC-DSCT-00070,41:13.5,-70:30:36.1,20.22,0.06895269,0.00000005,LMC538.03.2842,
OGLE-LMC-DSCT-00071,41:14.0,-68:36:24.2,20.188,0.08525364,0.00000007,LMC539.21.4686,
OGLE-LMC-DSCT-00072,41:19.5,-69:13:53.6,19.981,0.07904951,0.00000006,LMC539.04.2157,
OGLE-LMC-DSCT-00073,41:21.6,-69:47:45.0,19.204,0.0785381,0.00000004,LMC538.19.1533,
OGLE-LMC-DSCT-00075,41:53.6,-68:41:36.7,20.486,0.07571681,0.00000006,LMC539.11.16839,
OGLE-LMC-DSCT-00076,42:15.3,-68:19:55.7,20.43,0.06349296,0.00000005,LMC539.28.1560,
OGLE-LMC-DSCT-00077,42:28.1,-69:35:27.2,20.492,0.06522346,0.00000008,LMC538.27.3347,
